visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y_lower,y_upper,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y_lower,y_upper,bgra,gw_param_keys 3,gw_param_values 3,label 3,x,y,bgra,gw_param_keys 4,gw_param_values 4,label 4,x,y_lower,y_upper,bgra,gw_param_keys 5,gw_param_values 5,label 5,x,y,bgra,gw_param_keys 6,gw_param_values 6,label 6,x,y_lower,y_upper,bgra,gw_param_keys 7,gw_param_values 7,label 7,x,y,bgra,gw_param_keys 8,gw_param_values 8,label 8,x,y_lower,y_upper,bgra,gw_param_keys 9,gw_param_values 9,label 9,x,y,bgra,gw_param_keys 10,gw_param_values 10,label 10,x,y_lower,y_upper,bgra,gw_param_keys 11,gw_param_values 11,label 11,x,y,bgra,gw_param_keys 12,gw_param_values 12,label 12,x,y_lower,y_upper,bgra,gw_param_keys 13,gw_param_values 13,label 13,x,y,bgra,gw_param_keys 14,gw_param_values 14,label 14,x,y_lower,y_upper,bgra,gw_param_keys 15,gw_param_values 15,label 15,x,y,bgra,gw_param_keys 16,gw_param_values 16,label 16,x,y_lower,y_upper,bgra,gw_param_keys 17,gw_param_values 17,label 17,x,y,bgra,gw_param_keys 18,gw_param_values 18,label 18,x,y_lower,y_upper,bgra,gw_param_keys 19,gw_param_values 19,label 19,x,y,bgra,gw_param_keys 20,gw_param_values 20,label 20,x,y_lower,y_upper,bgra,gw_param_keys 21,gw_param_values 21,label 21,x,y,bgra,gw_param_keys 22,gw_param_values 22,label 22,x,y_lower,y_upper,bgra,gw_param_keys 23,gw_param_values 23,label 23,x,y,bgra,gw_param_keys 24,gw_param_values 24,label 24,x,y_lower,y_upper,bgra,gw_param_keys 25,gw_param_values 25,label 25,x,y,bgra
xlabel,X-Axis Label,0,-2,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Line Plot,lines_x_many_y_filled_line,0.0,0.9117973827016168,0.872350509208296,0.0,plot_type,Line Plot,line_filled_line,0.0,1.0,0.0,plot_type,Line Plot,lines_x_many_y_filled_line,1.0,0.18707379778813868,0.1754261071733602,255.0,plot_type,Line Plot,line_filled_line,1.0,0.20189651799465538,255.0,plot_type,Line Plot,lines_x_many_y_filled_line,2.0,-0.012891012669728042,0.07017394751239427,128.0,plot_type,Line Plot,line_filled_line,2.0,0.001661557273173934,128.0,plot_type,Line Plot,lines_x_many_y_filled_line,3.0,0.2937059199772616,0.29003558329073215,192.0,plot_type,Line Plot,line_filled_line,3.0,0.4065696597405991,192.0,plot_type,Line Plot,lines_x_many_y_filled_line,4.0,1.3068491739879526,0.9953309623850572,20.0,plot_type,Line Plot,line_filled_line,4.0,0.9048374180359595,20.0,plot_type,Line Plot,lines_x_many_y_filled_line,5.0,0.43349879949676823,0.6176123362475957,50.0,plot_type,Line Plot,line_filled_line,5.0,0.0820849986238988,50.0,plot_type,Line Plot,lines_x_many_y_filled_line,6.0,-0.22366432561504354,-0.07214070550137695,20.0,plot_type,Line Plot,line_filled_line,6.0,0.02732372244729256,20.0,plot_type,Line Plot,lines_x_many_y_filled_line,7.0,0.33819783031553186,0.7828472579204172,255.0,plot_type,Line Plot,line_filled_line,7.0,0.6703200460356393,255.0,plot_type,Line Plot,lines_x_many_y_filled_line,8.0,0.6157545174295382,1.0765355956546112,200.0,plot_type,Line Plot,line_filled_line,8.0,0.6703200460356393,200.0,plot_type,Line Plot,lines_x_many_y_filled_line,9.0,-0.24021520329996696,0.0615497780052562,200.0,plot_type,Line Plot,line_filled_line,9.0,0.0003035391380788668,200.0,plot_type,Line Plot,lines_x_many_y_filled_line,10.0,-0.049230821280728546,0.34419174414744397,100.0,plot_type,Line Plot,line_filled_line,10.0,0.0820849986238988,100.0,plot_type,Line Plot,lines_x_many_y_filled_line,11.0,0.5737296603193578,1.3539600398573528,50.0,plot_type,Line Plot,line_filled_line,11.0,0.9048374180359595,50.0,plot_type,Line Plot,lines_x_many_y_filled_line,12.0,-0.4554739781708881,-0.724551862757635,0.0,plot_type,Line Plot,line_filled_line,12.0,5.573903692694596e-07,0.0
xrot,0,10,-1,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Multiple Straight Lines,NONE_STR,0.5263157894736842,0.9526714583336793,1.0053602485240585,0.0,plot_style_type,Simple Straight Line,NONE_STR,0.5263157894736842,0.9726793187520405,0.0,plot_style_type,Multiple Straight Lines,NONE_STR,1.526315789473684,0.2638497989450467,0.293495975862325,255.0,plot_style_type,Simple Straight Line,NONE_STR,1.526315789473684,0.29919845416799407,255.0,plot_style_type,Multiple Straight Lines,NONE_STR,2.526315789473684,0.1320709519796328,0.079325522870983,128.0,plot_style_type,Simple Straight Line,NONE_STR,2.526315789473684,0.003751514822623903,128.0,plot_style_type,Multiple Straight Lines,NONE_STR,3.526315789473684,0.597573249368222,0.6469413791002481,128.0,plot_style_type,Simple Straight Line,NONE_STR,3.526315789473684,0.28837593946357193,128.0,plot_style_type,Multiple Straight Lines,NONE_STR,4.526315789473684,0.6776794431960481,1.6789982894600093,180.0,plot_style_type,Simple Straight Line,NONE_STR,4.526315789473684,0.9778121792665443,180.0,plot_style_type,Multiple Straight Lines,NONE_STR,5.526315789473684,-0.06319827627107918,0.4966763659247983,70.0,plot_style_type,Simple Straight Line,NONE_STR,5.526315789473684,0.1351479679956208,70.0,plot_style_type,Multiple Straight Lines,NONE_STR,6.526315789473684,0.36569380718513356,0.03450056736592089,160.0,plot_style_type,Simple Straight Line,NONE_STR,6.526315789473684,0.01413247726112932,160.0,plot_style_type,Multiple Straight Lines,NONE_STR,7.526315789473684,-0.543151627065217,0.1252940253534292,50.0,plot_style_type,Simple Straight Line,NONE_STR,7.526315789473684,0.5282280652289215,50.0,plot_style_type,Multiple Straight Lines,NONE_STR,8.526315789473685,1.157228316743459,1.5414272210017521,150.0,plot_style_type,Simple Straight Line,NONE_STR,8.526315789473685,0.8047895090184684,150.0,plot_style_type,Multiple Straight Lines,NONE_STR,9.526315789473685,0.08879479498586867,-0.41157581598510184,200.0,plot_style_type,Simple Straight Line,NONE_STR,9.526315789473685,0.00011448471331172139,200.0,plot_style_type,Multiple Straight Lines,NONE_STR,10.526315789473685,-0.002768747201898618,0.523474612193116,0.0,plot_style_type,Simple Straight Line,NONE_STR,10.526315789473685,0.04716908308011929,0.0,plot_style_type,Multiple Straight Lines,NONE_STR,11.526315789473685,-0.0137759380205692,1.2632869228001673,94.0,plot_style_type,Simple Straight Line,NONE_STR,11.526315789473685,0.7921821003439233,94.0,plot_style_type,Multiple Straight Lines,NONE_STR,12.526315789473685,-1.0262339021460503,-0.18679691190033215,0.0,plot_style_type,Simple Straight Line,NONE_STR,12.526315789473685,1.533015828777147e-07,0.0
xmm,40,20,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,X Many Y,NONE_STR,1.0526315789473684,0.8461778799177634,0.9383365890660257,0.0,plot_data_type,XY Pair,NONE_STR,1.0526315789473684,0.8951147791230504,0.0,plot_data_type,X Many Y,NONE_STR,2.052631578947368,0.5282223431717968,0.22604902978818123,255.0,plot_data_type,XY Pair,NONE_STR,2.052631578947368,0.4194973538581593,255.0,plot_data_type,X Many Y,NONE_STR,3.052631578947368,0.2597525436375848,0.06336960301399898,128.0,plot_data_type,XY Pair,NONE_STR,3.052631578947368,0.008013779369476889,128.0,plot_data_type,X Many Y,NONE_STR,4.052631578947368,0.13299495944378076,0.2731197087584812,0.0,plot_data_type,XY Pair,NONE_STR,4.052631578947368,0.19351847917336498,0.0,plot_data_type,X Many Y,NONE_STR,5.052631578947368,0.6478361810904192,0.8847890240178493,20.0,plot_data_type,XY Pair,NONE_STR,5.052631578947368,0.9997230300530102,20.0,plot_data_type,X Many Y,NONE_STR,6.052631578947368,0.6953265433954107,0.6109090888253337,255.0,plot_data_type,XY Pair,NONE_STR,6.052631578947368,0.21052060489729085,255.0,plot_data_type,X Many Y,NONE_STR,7.052631578947368,-0.10731629250580584,0.13940224680064595,230.0,plot_data_type,XY Pair,NONE_STR,7.052631578947368,0.0069156991074620505,230.0,plot_data_type,X Many Y,NONE_STR,8.052631578947368,-0.5208540181685226,0.7715164004796373,200.0,plot_data_type,XY Pair,NONE_STR,8.052631578947368,0.39382211528632566,200.0,plot_data_type,X Many Y,NONE_STR,9.052631578947368,0.6207118513038392,1.158541503919641,255.0,plot_data_type,XY Pair,NONE_STR,9.052631578947368,0.9141590635559127,255.0,plot_data_type,X Many Y,NONE_STR,10.052631578947368,-0.9060244074122852,-0.12720777404961167,20.0,plot_data_type,XY Pair,NONE_STR,10.052631578947368,4.085259693555967e-05,20.0,plot_data_type,X Many Y,NONE_STR,11.052631578947368,0.2343672117749636,-0.10007298521364773,0.0,plot_data_type,XY Pair,NONE_STR,11.052631578947368,0.02564427566961024,0.0,plot_data_type,X Many Y,NONE_STR,12.052631578947368,0.20333331915093833,0.4257583342394212,228.0,plot_data_type,XY Pair,NONE_STR,12.052631578947368,0.6561737647074352,228.0,plot_data_type,X Many Y,NONE_STR,13.052631578947368,-0.3135054668140682,0.6246963096060042,128.0,plot_data_type,XY Pair,NONE_STR,13.052631578947368,3.989083999075156e-08,128.0
xscale,linear,,1,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,0.667295645627394,0.7422320545671448,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,1.5789473684210527,0.7793403055874669,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.5789473684210527,0.5317561949277368,0.40693871348142174,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,2.5789473684210527,0.5564657895345909,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,3.5789473684210527,0.22924347266693124,0.09666571125364112,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,3.5789473684210527,0.016195988518036615,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,4.578947368421053,0.18195807689144572,0.07608897548642188,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,4.578947368421053,0.12286416293213981,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,5.578947368421053,1.074995755569973,0.7486095628052227,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,5.578947368421053,0.9670374990421141,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,6.578947368421053,-0.27388720315556947,0.14238575953454327,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,6.578947368421053,0.31025519489868525,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,7.578947368421053,0.6782562312853482,0.10402530822720671,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,7.578947368421053,0.003201792975228535,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,8.578947368421053,0.15833497570455074,0.5428577237055354,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,8.578947368421053,0.2777909499982107,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,9.578947368421053,0.8101304748422067,0.933594739156192,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,9.578947368421053,0.9824276939843385,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,10.578947368421053,0.3700203297781073,0.7422448727270553,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,10.578947368421053,1.3792125530675148e-05,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,11.578947368421053,-0.42353045271715034,0.6305797373646421,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,11.578947368421053,0.013190546929511734,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,12.578947368421053,0.0028929478117001306,0.922252078507754,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,12.578947368421053,0.5142236698092844,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,13.578947368421053,-0.17700231270053543,0.5269804373584136,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,13.578947368421053,9.820624092075881e-09,0.5
xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.5485923630307313,0.7554579937376101,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,2.1052631578947367,0.6419702625382298,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,3.1052631578947367,0.7140564105503636,0.7029192179775577,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,3.1052631578947367,0.6983724167992631,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.105263157894736,-0.02631531889244558,-0.002147459864054971,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,4.105263157894736,0.03096826700537275,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,5.105263157894736,0.09338488172383198,0.18271468853180278,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,5.105263157894736,0.07380187131423495,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,6.105263157894736,1.0000540337791877,0.7134747517883615,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,6.105263157894736,0.8850061677230147,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,7.105263157894736,0.455453966510191,-0.12374950784400524,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,7.105263157894736,0.43259637783763777,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,8.105263157894736,0.14020808747221042,0.011556477796009358,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,8.105263157894736,0.0014024576937976157,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,9.105263157894736,0.4022141769561567,-0.26615335152204,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,9.105263157894736,0.18538536626838767,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,10.105263157894736,0.5522077503360352,1.5759312561038699,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,10.105263157894736,0.9988925804011681,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,11.105263157894736,-0.33382634938854877,-0.566361064269887,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,11.105263157894736,4.405367030933301e-06,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,12.105263157894736,0.29892544431957696,-0.2371031053816995,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,12.105263157894736,0.006419105801133494,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,13.105263157894736,0.38221489924981217,0.3363089084190167,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,13.105263157894736,0.3812629715209348,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,14.105263157894736,-0.22394971580555234,-0.29882029237160845,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,14.105263157894736,2.287411803552387e-09,
xmax,22.55,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,0.5491771945784308,0.42759501685467205,,plot_data_source,Worksheet Columns,NONE_STR,2.631578947368421,0.5003133005846103,,plot_data_source,Worksheet Columns,NONE_STR,3.631578947368421,0.7855214457331,1.061919529201449,,plot_data_source,Worksheet Columns,NONE_STR,3.631578947368421,0.8292300844955302,,plot_data_source,Worksheet Columns,NONE_STR,4.631578947368421,-0.25617125127200524,-0.04773394195570972,,plot_data_source,Worksheet Columns,NONE_STR,4.631578947368421,0.05602291587858768,,plot_data_source,Worksheet Columns,NONE_STR,5.631578947368421,0.19490883610174103,0.26821340611016564,,plot_data_source,Worksheet Columns,NONE_STR,5.631578947368421,0.041941975817461404,,plot_data_source,Worksheet Columns,NONE_STR,6.631578947368421,0.6159711827490327,1.296544750915288,,plot_data_source,Worksheet Columns,NONE_STR,6.631578947368421,0.7662820341969077,,plot_data_source,Worksheet Columns,NONE_STR,7.631578947368421,0.6218215599115458,0.8270272871957906,,plot_data_source,Worksheet Columns,NONE_STR,7.631578947368421,0.5706713362763165,,plot_data_source,Worksheet Columns,NONE_STR,8.631578947368421,0.11427001734128761,-0.03984201011784144,,plot_data_source,Worksheet Columns,NONE_STR,8.631578947368421,0.0005812000661421747,,plot_data_source,Worksheet Columns,NONE_STR,9.631578947368421,0.5992776367442542,-0.39373963154077096,,plot_data_source,Worksheet Columns,NONE_STR,9.631578947368421,0.11705020255222486,,plot_data_source,Worksheet Columns,NONE_STR,10.631578947368421,1.2363660476497627,1.0442440520182883,,plot_data_source,Worksheet Columns,NONE_STR,10.631578947368421,0.9608959037141459,,plot_data_source,Worksheet Columns,NONE_STR,11.631578947368421,0.7210283532792635,-0.4037573272597072,,plot_data_source,Worksheet Columns,NONE_STR,11.631578947368421,1.331289041611719e-06,,plot_data_source,Worksheet Columns,NONE_STR,12.631578947368421,0.03974290903465589,-0.5901115852330407,,plot_data_source,Worksheet Columns,NONE_STR,12.631578947368421,0.0029554636910430004,,plot_data_source,Worksheet Columns,NONE_STR,13.631578947368421,0.5036543399922897,1.3481448939275054,,plot_data_source,Worksheet Columns,NONE_STR,13.631578947368421,0.2674462773647325,,plot_data_source,Worksheet Columns,NONE_STR,14.631578947368421,1.1578771225509168,-0.1277605454576812,,plot_data_source,Worksheet Columns,NONE_STR,14.631578947368421,5.040678422346795e-10,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,0.32139548965884124,0.37118783640019304,,plot_polarunits,NONE_STR,NONE_STR,3.1578947368421053,0.3688999105351207,,plot_polarunits,NONE_STR,NONE_STR,4.157894736842105,1.0161640309169715,0.9786434618138837,,plot_polarunits,NONE_STR,NONE_STR,4.157894736842105,0.9315418825943247,,plot_polarunits,NONE_STR,NONE_STR,5.157894736842105,-0.07655946185372439,0.10121061533905606,,plot_polarunits,NONE_STR,NONE_STR,5.157894736842105,0.09588570804684485,,plot_polarunits,NONE_STR,NONE_STR,6.157894736842105,-0.1963510668181251,-0.03715692912273453,,plot_polarunits,NONE_STR,NONE_STR,6.157894736842105,0.022551205420608837,,plot_polarunits,NONE_STR,NONE_STR,7.157894736842105,0.8595055738099502,0.7584754877005676,,plot_polarunits,NONE_STR,NONE_STR,7.157894736842105,0.6277263414368219,,plot_polarunits,NONE_STR,NONE_STR,8.157894736842106,0.0834562215888821,0.30005889105173195,,plot_polarunits,NONE_STR,NONE_STR,8.157894736842106,0.7122436792001213,,plot_polarunits,NONE_STR,NONE_STR,9.157894736842106,0.1797372348920608,-0.4543480413924356,,plot_polarunits,NONE_STR,NONE_STR,9.157894736842106,0.00022787721583478093,,plot_polarunits,NONE_STR,NONE_STR,10.157894736842106,0.13628830885429008,0.20122136640551902,,plot_polarunits,NONE_STR,NONE_STR,10.157894736842106,0.06992110026981235,,plot_polarunits,NONE_STR,NONE_STR,11.157894736842106,1.6052129331425427,0.7651321587040495,,plot_polarunits,NONE_STR,NONE_STR,11.157894736842106,0.8745270770054638,,plot_polarunits,NONE_STR,NONE_STR,12.157894736842106,-1.2260458624497703,0.1681256700259627,,plot_polarunits,NONE_STR,NONE_STR,12.157894736842106,3.8062909374625904e-07,,plot_polarunits,NONE_STR,NONE_STR,13.157894736842106,-0.7852020879252443,0.2618702349580531,,plot_polarunits,NONE_STR,NONE_STR,13.157894736842106,0.0012874076531086975,,plot_polarunits,NONE_STR,NONE_STR,14.157894736842106,0.4177669353084981,0.30815846680368725,,plot_polarunits,NONE_STR,NONE_STR,14.157894736842106,0.17749570558158123,,plot_polarunits,NONE_STR,NONE_STR,15.157894736842106,-0.09845791782129289,1.03966988180142,,plot_polarunits,NONE_STR,NONE_STR,15.157894736842106,1.0509280643780872e-10,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,0.2649120785103429,0.2479850255941663,,plot_anguleunits,Degrees,NONE_STR,3.6842105263157894,0.257344218095458,,plot_anguleunits,Degrees,NONE_STR,4.684210526315789,0.7734227064399503,0.8947231999685437,,plot_anguleunits,Degrees,NONE_STR,4.684210526315789,0.9900772593321729,,plot_anguleunits,Degrees,NONE_STR,5.684210526315789,-0.11771567630566698,0.11801572206223052,,plot_anguleunits,Degrees,NONE_STR,5.684210526315789,0.1552678050990302,,plot_anguleunits,Degrees,NONE_STR,6.684210526315789,-0.08076468548021651,0.19675857084863185,,plot_anguleunits,Degrees,NONE_STR,6.684210526315789,0.011471758621492842,,plot_anguleunits,Degrees,NONE_STR,7.684210526315789,0.5636796687069108,0.6387713645082123,,plot_anguleunits,Degrees,NONE_STR,7.684210526315789,0.4865096145014488,,plot_anguleunits,Degrees,NONE_STR,8.68421052631579,1.1683360962180735,0.7950996780479804,,plot_anguleunits,Degrees,NONE_STR,8.68421052631579,0.8410281109817392,,plot_anguleunits,Degrees,NONE_STR,9.68421052631579,-0.20130644556116586,0.014212629349747681,,plot_anguleunits,Degrees,NONE_STR,9.68421052631579,8.453090491733402e-05,,plot_anguleunits,Degrees,NONE_STR,10.68421052631579,-0.5055560300480154,0.1997740861267663,,plot_anguleunits,Degrees,NONE_STR,10.68421052631579,0.03951697586172375,,plot_anguleunits,Degrees,NONE_STR,11.68421052631579,-0.17951354001044517,0.5934623407485426,,plot_anguleunits,Degrees,NONE_STR,11.68421052631579,0.7530252571632544,,plot_anguleunits,Degrees,NONE_STR,12.68421052631579,0.40938025302233755,-0.13419144174772882,,plot_anguleunits,Degrees,NONE_STR,12.68421052631579,1.0296057720243205e-07,,plot_anguleunits,Degrees,NONE_STR,13.68421052631579,-0.7446830103346467,0.0023814500314335886,,plot_anguleunits,Degrees,NONE_STR,13.68421052631579,0.0005305739321155165,,plot_anguleunits,Degrees,NONE_STR,14.68421052631579,0.5997893302043136,0.06227028529297094,,plot_anguleunits,Degrees,NONE_STR,14.68421052631579,0.11144959807474411,,plot_anguleunits,Degrees,NONE_STR,15.68421052631579,0.529380453831946,0.8720143703118001,,plot_anguleunits,Degrees,NONE_STR,15.68421052631579,2.072985916295954e-11,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,4.2105263157894735,0.1750086324381674,0.2464866505664124,,plot_min_angle_row,0,NONE_STR,4.2105263157894735,0.1698476898484895,,plot_min_angle_row,0,NONE_STR,5.2105263157894735,0.962149508176758,0.9784292918652457,,plot_min_angle_row,0,NONE_STR,5.2105263157894735,0.9955776744427228,,plot_min_angle_row,0,NONE_STR,6.2105263157894735,0.23195275704633678,0.0019340597267304693,,plot_min_angle_row,0,NONE_STR,6.2105263157894735,0.23787473192297423,,plot_min_angle_row,0,NONE_STR,7.2105263157894735,0.23009437103161431,-0.37251687512795123,,plot_min_angle_row,0,NONE_STR,7.2105263157894735,0.0055211507287306946,,plot_min_angle_row,0,NONE_STR,8.210526315789473,0.12209019957091605,0.21338296520426206,,plot_min_angle_row,0,NONE_STR,8.210526315789473,0.3567400468807431,,plot_min_angle_row,0,NONE_STR,9.210526315789473,0.7757474187548389,0.8197167317067574,,plot_min_angle_row,0,NONE_STR,9.210526315789473,0.9395757176590244,,plot_min_angle_row,0,NONE_STR,10.210526315789473,-0.0905985185656401,-0.0514199048609778,,plot_min_angle_row,0,NONE_STR,10.210526315789473,2.966671746664372e-05,,plot_min_angle_row,0,NONE_STR,11.210526315789473,-0.30432712926482614,-0.11064883762068711,,plot_min_angle_row,0,NONE_STR,11.210526315789473,0.02112995214996088,,plot_min_angle_row,0,NONE_STR,12.210526315789473,0.7403834716200365,-0.22373955528429734,,plot_min_angle_row,0,NONE_STR,12.210526315789473,0.6134585015343659,,plot_min_angle_row,0,NONE_STR,13.210526315789473,0.06722201908932784,0.23995584247467255,,plot_min_angle_row,0,NONE_STR,13.210526315789473,2.6349921159400767e-08,,plot_min_angle_row,0,NONE_STR,14.210526315789473,0.25992213202976616,0.803432331248742,,plot_min_angle_row,0,NONE_STR,14.210526315789473,0.0002068783742514285,,plot_min_angle_row,0,NONE_STR,15.210526315789473,-0.3138939098618422,0.11914674819857082,,plot_min_angle_row,0,NONE_STR,15.210526315789473,0.06620770396255013,,plot_min_angle_row,0,NONE_STR,16.210526315789473,-0.07415130253196014,0.8625352117061942,,plot_min_angle_row,0,NONE_STR,16.210526315789473,3.8686467637352325e-12,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,4.7368421052631575,0.08552827128897139,0.17952613488090424,,plot_max_angle_row,360,NONE_STR,4.7368421052631575,0.10605819638589001,,plot_max_angle_row,360,NONE_STR,5.7368421052631575,0.9849415578143131,0.9282045399169192,,plot_max_angle_row,360,NONE_STR,5.7368421052631575,0.9471539539796818,,plot_max_angle_row,360,NONE_STR,6.7368421052631575,0.2923084883198136,0.4876529443003843,,plot_max_angle_row,360,NONE_STR,6.7368421052631575,0.3447899304679392,,plot_max_angle_row,360,NONE_STR,7.7368421052631575,0.04599369620500405,-0.18187985827333217,,plot_max_angle_row,360,NONE_STR,7.7368421052631575,0.002514019087961372,,plot_max_angle_row,360,NONE_STR,8.736842105263158,0.4105970853836418,0.23037988784014365,,plot_max_angle_row,360,NONE_STR,8.736842105263158,0.247486587102601,,plot_max_angle_row,360,NONE_STR,9.736842105263158,0.9183032409729536,0.579296649452947,,plot_max_angle_row,360,NONE_STR,9.736842105263158,0.9930987162369368,,plot_max_angle_row,360,NONE_STR,10.736842105263158,-0.18374831920006637,0.2322301170248957,,plot_max_angle_row,360,NONE_STR,10.736842105263158,9.850603463419146e-06,,plot_max_angle_row,360,NONE_STR,11.736842105263158,0.25090778939942715,-0.463090938614013,,plot_max_angle_row,360,NONE_STR,11.736842105263158,0.010689384261125279,,plot_max_angle_row,360,NONE_STR,12.736842105263158,0.6889763202860034,0.26121232750067835,,plot_max_angle_row,360,NONE_STR,12.736842105263158,0.47282474793398244,,plot_max_angle_row,360,NONE_STR,13.736842105263158,1.1561230757666707,0.35968683331149603,,plot_max_angle_row,360,NONE_STR,13.736842105263158,6.3800933853599825e-09,,plot_max_angle_row,360,NONE_STR,14.736842105263158,0.4120746209260193,0.960710584633889,,plot_max_angle_row,360,NONE_STR,14.736842105263158,7.631741375300311e-05,,plot_max_angle_row,360,NONE_STR,15.736842105263158,0.7976482454160658,0.3812444918581096,,plot_max_angle_row,360,NONE_STR,15.736842105263158,0.037211562947768125,,plot_max_angle_row,360,NONE_STR,16.736842105263158,0.17154875945563836,1.1695111344341247,,plot_max_angle_row,360,NONE_STR,16.736842105263158,6.830636378620516e-13,
